county1,distance,county2
12019,268.730154867127,12021
12019,275.297816821861,12011
12019,286.295112786446,12091
12019,305.650050658973,12087
12019,311.374734667831,12113
12019,313.587172062665,12086
12019,329.764526676969,12033
12021,32.9084057215267,12051
12021,37.7486826316509,12087
12021,42.691450952668,12071
12021,57.551008950199,12011
12021,59.2100853825964,12043
12021,61.652459078387,12015
12021,66.1569096821066,12086
12021,69.2811164071814,12099
12021,78.1747115391414,12027
12021,84.6452461067598,12055
12021,90.8189134499882,12085
12021,93.0895256057415,12093
12021,94.7207921760674,12115
12021,98.4239583342078,12049
12021,105.327130998644,12111
12021,111.379095628766,12081
12021,120.568438337676,12061
12021,128.011520857757,12105
12021,135.02472810279,12097
12021,136.63618067176,12057
12021,148.289022161203,12103
12021,156.622913837692,12009
12021,164.18448553751,12101
12021,165.596926985255,12095
12021,178.428086161465,12117
12021,181.381407049639,12053
12021,183.773869259242,12069
12021,184.036297759168,12119
12021,200.477946504744,12017
12021,203.585558823958,12127
12021,216.682616226296,12083
12021,231.995313082971,12035
12021,234.50450455669,12075
12021,241.841641911712,12107
12021,252.605637964462,12001
12021,260.613789060881,12109
12021,263.131668945822,12029
12021,263.211895525863,12041
12021,268.594562005848,12007
12021,268.730154867127,12019
12021,278.219885253353,12125
12021,288.5967934841,12067
12021,291.722414645985,12031
12021,293.067049318783,12023
12021,295.719860481111,12003
12021,297.482969844352,12121
12021,301.291746027389,12123
12021,310.824787555969,12089
12021,316.465651782307,12047
12021,324.477357936839,12079
12021,328.680764627205,12037
12021,331.705837560766,12129
12021,333.8354729101,12065
12021,347.206612755504,12073
12021,351.840614811317,12045
12021,355.561411710971,12077
12021,364.809428016903,12039
12021,374.69846513885,12013
12021,383.81605167937,12005
12021,396.946162795157,12063
12021,403.780965861717,12133
12021,423.432015223096,12059
12021,425.91786527225,12131
12021,445.236806498967,12091
12021,465.390106718972,12113
12021,475.980453635461,12033
12023,19.1717081752586,12125
12023,20.4283534463475,12003
12023,22.1822032426486,12121
12023,27.0135421104986,12047
12023,33.2217800383293,12007
12023,35.917100967062,12041
12023,36.8413406603474,12067
12023,40.918423915885,12001
12023,48.5040368219409,12019
12023,52.8845332346386,12079
12023,55.9806449022142,12029
12023,57.6290286139865,12089
12023,58.7072497630601,12031
12023,61.0194922372477,12123
12023,65.4439382564941,12075
12023,67.8151909475759,12107
12023,76.9013909434075,12065
12023,77.5506134998759,12109
12023,78.5087319617327,12083
12023,95.2731041730041,12035
12023,95.3716453832973,12017
12023,100.028693913225,12073
12023,104.790892377857,12129
12023,109.22490552974,12119
12023,114.617801713083,12069
12023,114.635110350137,12053
12023,119.017370191,12127
12023,121.119949058715,12039
12023,132.9928285399,12101
12023,133.247088952057,12037
12023,134.057612103293,12077
12023,138.708421999018,12117
12023,141.538769627059,12095
12023,154.022741280863,12013
12023,158.910255014366,12063
12023,158.956128203382,12045
12023,160.3250722513,12103
12023,160.782171079962,12057
12023,166.477641491972,12105
12023,174.173863187458,12097
12023,176.306064734863,12009
12023,179.582304403939,12005
12023,183.020138754322,12133
12023,189.949359430333,12081
12023,194.656071176433,12049
12023,194.966138899514,12059
12023,210.409137286257,12115
12023,213.510571790327,12055
12023,213.585763498264,12131
12023,213.682711696295,12061
12023,215.172145876857,12027
12023,222.323054437907,12093
12023,235.304305500697,12015
12023,236.493526151123,12111
12023,238.518474975165,12091
12023,241.835780199898,12043
12023,255.537027570637,12085
12023,257.375996058044,12071
12023,263.61398679086,12113
12023,269.658405278601,12051
12023,280.134761333118,12099
12023,282.262475396104,12033
12023,293.067049318783,12021
12023,307.431962652574,12011
12023,330.723418850297,12087
12023,343.934846799172,12086
12027,20.9056604020961,12049
12027,23.7245589686632,12015
12027,30.4484739302177,12055
12027,34.3943389635149,12115
12027,39.7885198180886,12081
12027,41.2187126793986,12043
12027,44.4296699239313,12071
12027,53.1423581342729,12105
12027,58.0084313909132,12093
12027,59.6252036945469,12057
12027,60.4390309564699,12051
12027,72.5763532197347,12097
12027,75.4476088824929,12103
12027,78.1747115391414,12021
12027,83.3270213235611,12061
12027,84.7137884327738,12111
12027,86.4538351236707,12101
12027,86.9144888230803,12085
12027,91.7168986846208,12099
12027,96.1095632694743,12095
12027,102.128240393194,12009
12027,103.314728269158,12053
12027,106.545656913861,12119
12027,107.154234138305,12011
12027,108.871633304317,12069
12027,111.480077569359,12117
12027,115.923352983501,12087
12027,122.334049543707,12017
12027,134.843420034606,12127
12027,135.878025502136,12086
12027,139.777160703814,12083
12027,156.41918505069,12075
12027,160.965845474534,12035
12027,166.93700054742,12107
12027,174.939795335429,12001
12027,185.03720013136,12041
12027,185.491594296831,12029
12027,188.305205443538,12109
12027,191.697659237305,12007
12027,193.247510185887,12019
12027,200.762006041101,12125
12027,210.574969820242,12067
12027,215.172145876857,12023
12027,217.486208889975,12031
12027,218.602468405134,12003
12027,219.308334613318,12121
12027,224.026283969699,12123
12027,235.990757085711,12089
12027,238.331996382402,12047
12027,246.524694489642,12079
12027,256.462891312537,12037
12027,256.480745361658,12129
12027,256.608726496417,12065
12027,270.882703113107,12073
12027,281.184879358649,12045
12027,281.748610883601,12077
12027,289.183232654674,12039
12027,301.637936628431,12013
12027,313.079025828241,12005
12027,322.600694264358,12063
12027,331.588759492026,12133
12027,350.778673296359,12059
12027,355.436529757886,12131
12027,376.069585161013,12091
12027,397.48265650652,12113
12027,409.623160586443,12033
12029,25.9517301422272,12041
12029,28.2893992565768,12067
12029,32.1692626202519,12075
12029,39.2948209538768,12123
12029,43.7548737683408,12121
12029,50.7809471067878,12001
12029,55.9806449022142,12023
12029,59.4799965731176,12125
12029,62.0737946758589,12079
12029,64.5685545245805,12047
12029,65.0514443452479,12017
12029,66.6909570716254,12007
12029,71.6107002677815,12065
12029,74.1387899207664,12083
12029,74.1588716165942,12003
12029,80.5546339877546,12129
12029,82.7422299417252,12053
12029,84.974382320315,12019
12029,87.4196054167749,12107
12029,88.7377480979217,12073
12029,90.3355996810604,12119
12029,97.5355916690231,12037
12029,99.0424940982915,12101
12029,105.797910795577,12069
12029,106.292931931161,12031
12029,109.250135645418,12039
12029,110.619159994517,12077
12029,110.78131553252,12109
12029,111.04352574615,12089
12029,115.017918358893,12035
12029,119.170922494976,12103
12029,125.669832335415,12045
12029,126.528789962609,12057
12029,127.74581904563,12127
12029,132.186937827372,12013
12029,134.978724659066,12095
12029,138.920666660594,12117
12029,144.683919824369,12105
12029,146.394524741508,12063
12029,152.764786490016,12005
12029,153.558694685292,12081
12029,162.94308655768,12097
12029,163.49429194683,12133
12029,166.640344541922,12049
12029,173.094235675635,12115
12029,174.972574063836,12009
12029,179.720547794217,12059
12029,185.491594296831,12027
12029,191.326589974887,12055
12029,192.380952071115,12131
12029,202.353534282728,12015
12029,205.255959816902,12061
12029,206.525869103583,12093
12029,216.482842847586,12091
12029,218.635802488292,12043
12029,223.841563567357,12071
12029,225.920487576728,12111
12029,240.972593524814,12113
12029,242.477433878761,12085
12029,244.314201095269,12051
12029,257.700753349581,12033
12029,262.943575551174,12099
12029,263.131668945822,12021
12029,286.937965587471,12011
12029,300.727051531613,12087
12029,320.157263559418,12086
12031,19.9540915407381,12089
12031,27.1293095810227,12019
12031,34.5429861642277,12109
12031,39.019664192184,12003
12031,40.9917696043929,12007
12031,47.1115617416145,12125
12031,50.6906486030314,12107
12031,58.7072497630601,12023
12031,62.2614984201334,12001
12031,63.2698385401211,12035
12031,78.3794003716531,12047
12031,80.6223237891701,12041
12031,80.8763264099679,12121
12031,81.7513799176362,12083
12031,92.9752134922831,12127
12031,94.4819052332768,12067
12031,99.5205247870068,12075
12031,106.292931931161,12029
12031,108.623228402264,12069
12031,108.883224269239,12079
12031,114.895719748325,12119
12031,115.739770060642,12017
12031,117.829750943317,12117
12031,119.604571496144,12123
12031,127.315159624616,12095
12031,131.62526799376,12053
12031,133.821718715671,12065
12031,148.666443594487,12101
12031,151.878919387443,12009
12031,156.948463131203,12073
12031,160.236845010157,12097
12031,163.335098545824,12129
12031,164.611361080236,12105
12031,173.061386740005,12057
12031,177.369960663382,12039
12031,180.491553033686,12103
12031,191.864188238705,12037
12031,192.185507623946,12077
12031,193.236264330371,12061
12031,196.670721226061,12049
12031,201.902047018881,12081
12031,207.603774427372,12055
12031,208.933214745706,12093
12031,211.652595994782,12013
12031,214.221644744514,12063
12031,216.756414378358,12111
12031,217.486208889975,12027
12031,217.659529962466,12045
12031,221.999333035167,12115
12031,235.204785684196,12043
12031,237.324218364578,12085
12031,237.735859344039,12005
12031,239.779790166973,12133
12031,240.163484216379,12015
12031,250.374336784868,12059
12031,261.807868752256,12071
12031,263.999769649862,12051
12031,265.11360097107,12099
12031,270.3965900779,12131
12031,291.722414645985,12021
12031,294.904612366189,12011
12031,295.31290316432,12091
12031,320.379141844479,12113
12031,328.207454615619,12087
12031,333.886317179541,12086
12031,339.390641342301,12033
12033,20.3229178432864,12113
12033,44.4373467131853,12091
12033,69.1288392999049,12131
12033,92.3180149759418,12059
12033,99.6828174554728,12133
12033,104.973175638676,12005
12033,127.046808060218,12063
12033,128.391533759648,12013
12033,133.46963238993,12045
12033,149.161089035089,12077
12033,161.44210771733,12037
12033,162.153903210536,12039
12033,179.643859919075,12129
